Parameter_ID,Parameter_Name,Number,Description
B,Gender,1,"one noun class (i.e., no gender system with common nouns)"
B,Gender,2,"two classes (M/F, F/NF, M/NM)"
B,Gender,3,three classes (M/F/N)
C,Enclitic plural marker or free-standing word,0,affixal plural
C,Enclitic plural marker or free-standing word,1,enclitic plural marker (with a largely constant form) or free-standing phonological word
C,Enclitic plural marker or free-standing word,2,basically enclitic but with considerable morphophonological variation which is not entirely due to phonotactic constraints
D,Oblique stems of common nouns,0,one invariable stem
D,Oblique stems of common nouns,1,"two stems, “oblique” stem not a productive case"
D,Oblique stems of common nouns,2,"two stems, “oblique”stem is at least generally identical with genitive"
E,Presence of ergative morphology,0,none
E,Presence of ergative morphology,1,"found either in certain verbal categories only (typically non-imperfective past tense, e.g., Hindi), with only certain persons (e.g., Darai, 3rd person,singular), or potentially in all verbal categories with all persons with transitive predicates, dependent on other factors (e.g., Nepali)."
F,Three numbers with free-standingpronouns,0,no
F,Three numbers with free-standingpronouns,1,yes
G,"Inclusive /exclusive distinction in non-singular first persons (or at least in dual or plural, if not in both)",0,no
G,"Inclusive /exclusive distinction in non-singular first persons (or at least in dual or plural, if not in both)",1,yes
G,"Inclusive /exclusive distinction in non-singular first persons (or at least in dual or plural, if not in both)",2,"yes, but found only on predicative marking, not on the pronouns themselves (e.g., Oriya)"
H,Classifiers,0,none found
H,Classifiers,1,found only with numerals and possibly a few other quantifiers
H,Classifiers,2,"found with numerals etc., but also postposed to nouns to denote definiteness /referentiality"
I,Similarity between morphemes denoting ‘from’ and ‘to’,0,none found
I,Similarity between morphemes denoting ‘from’ and ‘to’,1,identical forms
I,Similarity between morphemes denoting ‘from’ and ‘to’,2,"no formal identity, but signs of at least some previous similarity, e.g., Kharia *tay* ‘from’ and *khoʔtay* ‘to’ (`<*`*khoʔ tay* ‘from the place’) or Konkani *ajun* ‘up to today’ (*<aji-un* ‘today-ABL’, cf. Master 1964: 153; 156; 170, (under the entry “*ājhuiṃ*”))"
J,Lexeme for ‘place’ can be used productively as a locative case marker or as part of a nominal compound,0,no
J,Lexeme for ‘place’ can be used productively as a locative case marker or as part of a nominal compound,1,yes
K,"Lexeme for ‘side’ can be used productively as an allative marker (juxtaposition or compound, not when ‘side’ is a relational noun, cf. Hindi *kī taraf*)",0,no
K,"Lexeme for ‘side’ can be used productively as an allative marker (juxtaposition or compound, not when ‘side’ is a relational noun, cf. Hindi *kī taraf*)",1,yes
L,Alienable /inalienable distinction in attributive possession,0,none
L,Alienable /inalienable distinction in attributive possession,1,"yes, but only in some persons (e.g., Sadri, only found in the 3rd person)"
L,Alienable /inalienable distinction in attributive possession,2,"yes, in all persons. Here we include cases such as Remo, for which we have only one example but which clearly seems to fit the overall pattern, i.e., the usual means in Munda languages in which the noun is followed by an enclitic/suffixal person marker, in this case the 2nd person, singular, so that it is clearly different from the Sadri case above(cf. Anderson and Harrison 2008a: 576)."
L,Alienable /inalienable distinction in attributive possession,3,so-called “appellative nouns” in Kuvi /Kui – status not entirely clear
M,Marker of focus which derives from genitive,0,no
M,Marker of focus which derives from genitive,1,yes
N,"Genitive used as a nominalizer/adjectivizer (e.g., as (part of the) infinitive or participle marker",0,no
N,"Genitive used as a nominalizer/adjectivizer (e.g., as (part of the) infinitive or participle marker",1,yes
O,"Genitive used as a person marker (typically 3rd person, singular)",0,no
O,"Genitive used as a person marker (typically 3rd person, singular)",1,"yes, formal identity at least in some forms, where it is productive"
O,"Genitive used as a person marker (typically 3rd person, singular)",2,"found in some forms, but not /no longer productive"
P,Genitive marker found in copular form(s),0,nowhere
P,Genitive marker found in copular form(s),1,"yes, equal to the genitive in the respective language or in the donor language, if borrowed"
